document_id,document_name,sort_order,chunk_id,block_count,char_count,plain_chars,data_chars,html_chars,data_kb,plain_kb,html_kb,total_payload_kb
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,0,ca02a336-0101-4f04-88ad-77356859e698,24,5754,5754,8820,6610,11.70,8.73,9.54,29.97
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,1,90dd2b5b-38d0-4f6a-94c1-c175022745f0,24,7135,7135,10549,7758,13.76,10.46,11.03,35.25
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,2,cead187b-c404-4eb9-934d-f7aa02f1d19a,24,9259,9259,12250,9656,18.13,15.23,15.60,48.96
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,3,30bb03bd-b2fb-4f94-88f0-bd7073c5807e,24,7303,7303,10230,7695,14.32,11.48,11.85,37.65
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,4,c3eefd8b-ac06-46de-b4c4-1260d2def3cb,24,4239,4239,6807,4469,9.53,7.03,7.25,23.81
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,5,6db0b737-d108-4daa-8523-19b4a8acee3e,24,5657,5657,8606,6071,11.45,8.60,8.97,29.02
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,6,e5a43aba-0bfd-42be-a0ae-58b977f4a4a1,24,4730,4730,7542,5084,10.06,7.33,7.66,25.04
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,7,7b5dd797-b7cb-4e04-9182-ca1051ac76f6,24,4751,4751,7473,5058,10.06,7.41,7.70,25.18
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,8,64e04149-18ca-4960-8120-0ca5d88195c1,24,4383,4383,6943,4619,9.85,7.36,7.58,24.79
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,9,31048d87-9657-4d8c-93d2-01a267ff27f8,24,3697,3697,6299,3956,8.42,5.89,6.13,20.45
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,10,0830a2df-50b8-4e4e-b32d-a0c253993f27,24,3823,3823,6450,4089,8.64,6.09,6.34,21.07
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,11,dbbf1660-9277-4f71-a358-52b827746d54,24,4520,4520,7025,4725,10.13,7.69,7.88,25.71
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,12,2825c46b-dd6f-462b-a445-a93ff997882d,24,6847,6847,9693,7183,14.01,11.25,11.56,36.83
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,13,17db99bd-ae74-4726-9994-363b479f6a60,24,3804,3804,6184,3954,8.88,6.55,6.70,22.13
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,14,7910c6bf-4181-4fe7-8b4d-342356066f11,24,4443,4443,6905,4628,10.07,7.67,7.84,25.58
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,15,d7efee4f-cba3-4b25-829a-fdde816abb04,24,6836,6836,9523,7117,14.18,11.57,11.83,37.57
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,16,d6e38137-b9e2-4c6c-864f-c9e1ac092eb0,24,4582,4582,7127,4809,10.07,7.59,7.80,25.45
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,17,280aca8c-c9e3-4b80-bfcc-14474d28453a,24,6575,6575,9128,6792,13.67,11.19,11.39,36.25
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,18,4210a27c-7ca7-4859-a430-44b1beb5bc50,24,3998,3998,6509,4215,9.23,6.79,6.99,23.02
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,19,9142e5a6-49ce-4b2f-8145-f5b072a85fe6,24,2239,2239,4676,2423,6.17,3.80,3.97,13.94
